,Var1,Var2,Subsystem 1,Subsystem 2
46,ALATA_L,APATr,Alanine and Aspartate Metabolism,Alanine and Aspartate Metabolism
47,AIRCr,AIRC3,Purine Metabolism,Nucleotide Sugar Metabolism
48,AIRCr,AIRC2,Purine Metabolism,Nucleotide Sugar Metabolism
49,PGK,PGM,Glycolysis,Glycolysis
50,RPE,TALA,Pentose Phosphate Pathway,Pentose Phosphate Pathway
51,TKT2,TALA,Pentose Phosphate Pathway,Pentose Phosphate Pathway
52,TKT2,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
53,TKT1,RPE,Pentose Phosphate Pathway,Pentose Phosphate Pathway
54,TKT1,TKT2,Pentose Phosphate Pathway,Pentose Phosphate Pathway
55,GLUt2r,ICDHyr,Transport,Citric Acid Cycle
56,HSST,THRS,Other Amino Acid Metabolism,"Glycine, Serine, and Threonine Metabolism"
57,HSST,SHSL4r,Other Amino Acid Metabolism,Cysteine Metabolism
58,HSK,HSST,"Glycine, Serine, and Threonine Metabolism",Other Amino Acid Metabolism
59,GLCabc,PGI,Transport,Glycolysis
60,GAPD,PGM,Glycolysis,Glycolysis
61,NH4t,GLUt2r,Transport,Transport
62,ENO,PGK,Glycolysis,Glycolysis
63,ENO,GAPD,Glycolysis,Glycolysis
64,DMPPS,IPDPS,Cofactor Metabolism,Polyprenyl Metabolism
65,GLYK,G3PD1ir,Sugar Metabolism,Cofactor Metabolism
66,FBA,GLCabc,Glycolysis,Transport
67,FACOAL181,DESAT18,Fatty Acid Metabolism,Fatty Acid Metabolism
68,FACOAL180,FACOAL181,Fatty Acid Metabolism,Fatty Acid Metabolism
69,FAS181,DESAT18,Fatty Acid Metabolism,Fatty Acid Metabolism
70,FAS181,FACOAL181,Fatty Acid Metabolism,Fatty Acid Metabolism
71,FAS181,FACOAL180,Fatty Acid Metabolism,Fatty Acid Metabolism
72,ACONT,GLUt2r,Citric Acid Cycle,Transport
73,ACGS,ORNTAC,Urea Cycle,Urea Cycle
74,AICART,AICART2,Purine Metabolism,Purine Metabolism
