"","Var1","Var2","RI_species"
"813","HIBD","3M2OPLOXRD",1
"814","ACCOAC","BIRA",1
"815","ACCOAC","ACCD3",1
"816","ACCOAC","ACCA3",1
"817","ASPO6","ASPO5",1
"818","ECOAH12","MACCOAT",1
"819","ECOAH12","HACD9",1
"820","ECOAH12","ECOAH9ir",1
"821","ECOAH12","ACOADH1",1
"822","ECOAH12","BKDC1",1
"823","ECOAH12","3M2OPLOXRD",1
"824","FADE233","MACCOAT",1
"825","FADE233","HACD9",1
"826","FADE233","ECOAH9ir",1
"827","FADE233","ACOADH1",1
"828","FADE233","BKDC1",1
"829","FADE233","3M2OPLOXRD",1
"830","BKDC","MACCOAT",1
"831","BKDC","HACD9",1
"832","BKDC","ECOAH9ir",1
"833","BKDC","ACOADH1",1
"834","BKDC","BKDC1",1
"835","BKDC","3M2OPLOXRD",1
"836","BKDA2","MACCOAT",1
"837","BKDA2","HACD9",1
"838","BKDA2","ECOAH9ir",1
"839","BKDA2","ACOADH1",1
"840","BKDA2","BKDC1",1
"841","BKDA2","3M2OPLOXRD",1
"842","3HBCOAHL","MACCOAT",1
"843","3HBCOAHL","HACD9",1
"844","3HBCOAHL","ECOAH9ir",1
"845","3HBCOAHL","ACOADH1",1
"846","3HBCOAHL","BKDC1",1
"847","3HBCOAHL","3M2OPLOXRD",1
"848","APSR","BPNT",1
"849","APSR","ADSK",1
"850","TMDS3","TMDS",1
"851","AMYL2","MTI",1
"852","AMYL2","MAK",1
"853","AMYL2","GLGE",1
"854","DHORD2","DHORDi",1
"855","CS","CITabc",1
"856","ASPTA","ASNN",1
"857","ASPTA","ASNt2r",1
"858","FAS161","FAS160",1
"859","GLYCt","ENO",1
"860","GAPD","GLYCt",1
"861","GAPD","GLYK",1
"862","NH4t","ASNN",1
"863","NH4t","ASNt2r",1
"864","PEPCK_re","NDPK1",1
"865","PGK","GLYCt",1
"866","PGK","GLYK",1
"867","PGM","GLYCt",1
"868","TPI","GLYCt",1
"869","TPI","GLYK",1
"870","TPI","GAPD",1
"871","TPI","PGK",1
"872","TRE6PP","GLGC",1
"873","TRE6PP","PGMT",1
"874","HDECH","FAS160",1
"875","APSR","PAPSR",1
"876","AMYL2","TRE6PP",1
"877","GLYDHDA","GHMT2r",1
