"","Centrality","Class","RCI","RI"
"PSERT",0.0280612244897959,"ELE",8,1
"PSP_L",0.245408163265306,"ELE",8,1
"RNTR1c",0.299489795918367,"Opt",8,1
"RNTR2c",0.21734693877551,"Opt",13,1
"RNTR3c",0.220918367346939,"Opt",25,1
"RPE",0.00459183673469388,"Opt",32,6
"SDPDS",0.222959183673469,"MLE",26,2
"SDPTA",0.0280612244897959,"MLE",26,2
"SERAT",0.0403061224489796,"ELE",55,2
"SO4tex",0.00153061224489796,"ELE",54,2
"SUCCtex",0.00408163265306122,"ELE",14,1
"SUCDi",0.0224489795918367,"Opt",4,1
"SULabcpp",0.499489795918367,"ELE",54,2
"SULR",0.451530612244898,"ELE",54,2
"TALA",0.0127551020408163,"Opt",40,3
"THDPS",0.236224489795918,"MLE",26,2
"THRA",0.013265306122449,"Opt",20,5
"THRS",0.241836734693878,"ELE",32,1
"TKT1",0.011734693877551,"Opt",38,3
"TKT2",0.0137755102040816,"Opt",32,6
"TPI",0.0102040816326531,"Opt",10,2
"TRPS1",0.226530612244898,"Opt",25,2
"TRPS2",0.221428571428571,"ELE",47,1
"TRPS3",0.00816326530612245,"ELE",39,1
"TYRt2rpp",0.402040816326531,"Opt",40,3
"TYRTA",0.0290816326530612,"MLE",46,2
"TYRtex",0.00153061224489796,"Opt",40,3
