GALCTNLt2pp
EX_3hpppn_e
EX_ppal_e
EX_ppa_e
EX_idon__L_e
EX_udpgal_e
EX_imp_e
EX_pppn_e
EX_ppt_e
EX_k_e
EX_udpglcur_e
EX_psclys_e
EX_pser__L_e
EX_udpg_e
EX_ump_e
EX_r5p_e
EX_rmn_e
EX_sbt__D_e
EX_so2_e
EX_so3_e
EX_spmd_e
EX_tartr__L_e
EX_taur_e
EX_tcynt_e
EX_xmp_e
EX_thm_e
EX_thrp_e
EX_thym_e
EX_tmao_e
EX_tma_e
EX_xylu__L_e
EX_zn2_e
EX_urea_e
EX_fe_e
CYSDSF
CDGUNPD
DGUNC
GALS3
RAFGH
STACHGALACT
