Var1,Var2
O2tex,PGK
O2tex,GAPD
PAPSR2,TRDR
PAPSR2,PAPSR
GRXR,TRDR
GRXR,PAPSR
PGCD,GHMT2r
PPPGO3,O2tpp
PPPGO3,O2tex
PDX5PO2,O2tpp
PDX5PO2,O2tex
PGM,O2tpp
PGM,O2tex
RPI,RPE
RPI,TALA
RPI,TKT1
RPI,TKT2
3OAS100,ECOAH4
3OAS100,ECOAH1
3OAS100,ECOAH2
3OAS100,ECOAH3
3OAS100,HACD4
3OAS100,ACACT2r
3OAS100,ACACT3r
3OAS100,ACACT4r
3OAS100,HACD1
3OAS100,HACD2
3OAS100,HACD3
3OAS100,ACACT1r
3OAR100,ECOAH4
3OAR100,ECOAH1
3OAR100,ECOAH2
3OAR100,ECOAH3
3OAR100,HACD4
3OAR100,ACACT2r
3OAR100,ACACT3r
3OAR100,ACACT4r
3OAR100,HACD1
3OAR100,HACD2
3OAR100,HACD3
3OAR100,ACACT1r
3HAD100,ECOAH4
3HAD100,ECOAH1
3HAD100,ECOAH2
3HAD100,ECOAH3
3HAD100,HACD4
3HAD100,ACACT2r
3HAD100,ACACT3r
3HAD100,ACACT4r
3HAD100,HACD1
3HAD100,HACD2
3HAD100,HACD3
3HAD100,ACACT1r
ACOAD3f,3OAS100
ACOAD3f,3OAR100
ACOAD3f,3HAD100
ACOAD2f,3OAS100
ACOAD2f,3OAR100
ACOAD2f,3HAD100
ACOAD4f,3OAS100
ACOAD4f,3OAR100
ACOAD4f,3HAD100
OPHHX3,O2tpp
OPHHX3,O2tex
I4FE4SR,S4FE4SR
I2FE2SS,S4FE4SR
I2FE2SS2,S4FE4SR
I4FE4ST,S4FE4SR
S2FE2SS2,I4FE4SR
S2FE2SS2,I2FE2SS
S2FE2SS2,I2FE2SS2
S2FE2SS2,I4FE4ST
ACOAD1fr,3OAS100
ACOAD1fr,3OAR100
ACOAD1fr,3HAD100
4HTHRA,OHPBAT
4HTHRA,E4PD
4HTHRA,PERD
4HTHRK,OHPBAT
4HTHRK,E4PD
4HTHRK,PERD
