Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
RNTR2c2,NDPK5,ELE_Rxns,ELE_Rxns
RNTR3c2,NDPK7,ELE_Rxns,ELE_Rxns
RPI,TALA,ELE_Rxns,ELE_Rxns
TRDR,GRXR,ELE_Rxns,ELE_Rxns
TRDR,GTHOr,ELE_Rxns,ELE_Rxns
TRDR,PAPSR2,ELE_Rxns,ELE_Rxns
TRPS1,TRPS2,ELE_Rxns,ELE_Rxns
TRPS1,TRPS3,ELE_Rxns,ELE_Rxns
SO4t2pp,SULabcpp,ELE_Rxns,ELE_Rxns
ZN2tpp,ZNabcpp,ELE_Rxns,ELE_Rxns
MECDPDH2,MECDPDH5,MLE_Rxns,MLE_Rxns
GART,GARFT,ELE_Rxns,ELE_Rxns
IPDPS,DMPPS,MLE_Rxns,MLE_Rxns
O2tex,ENO,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tex,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tpp,ENO,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tpp,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns
PGCD,GHMT2r,ELE_Rxns,ELE_Rxns
PGK,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
PGK,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PGM,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
PGM,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PPC,FUM,ELE_Rxns,pFBAOpt_Rxns
PPC,O2tex,ELE_Rxns,pFBAOpt_Rxns
PPC,O2tpp,ELE_Rxns,pFBAOpt_Rxns
PPPGO3,O2tex,ELE_Rxns,pFBAOpt_Rxns
PPPGO3,O2tpp,ELE_Rxns,pFBAOpt_Rxns
PRPPS,PPM,ELE_Rxns,ELE_Rxns
PSERT,GHMT2r,ELE_Rxns,ELE_Rxns
PSP_L,GHMT2r,ELE_Rxns,ELE_Rxns
RPE,GND,ELE_Rxns,ELE_Rxns
RPI,RPE,ELE_Rxns,ELE_Rxns
SUCDi,PPC,pFBAOpt_Rxns,ELE_Rxns
TKT1,RPE,ELE_Rxns,ELE_Rxns
TKT1,RPI,ELE_Rxns,ELE_Rxns
TKT2,GND,ELE_Rxns,ELE_Rxns
TKT2,RPE,ELE_Rxns,ELE_Rxns
TKT2,RPI,ELE_Rxns,ELE_Rxns
TKT2,TKT1,ELE_Rxns,ELE_Rxns
