,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type
46,TPI,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,CYTBD,pFBAOpt_Rxns,43.5989411419112,43.5990296328001,7.47738196216028,43.5989853119975,RSL
47,TPI,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TALA,pFBAOpt_Rxns,1.49690092662001,1.49706021022007,7.47738196216028,1.49698375726155,RSL
48,TPI,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TKT1,pFBAOpt_Rxns,1.49690092662001,1.49706021022007,7.47738196216028,1.49698375726155,RSL
49,TPI,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,7.47738196216028,1.18149809324598,RSL
50,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,7.47738196216028,4.86086114649686,RSL
51,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,7.47738196216028,4.95998494457466,RSL
52,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,CO2t,pFBAOpt_Rxns,-22.8098548845001,-22.8097885163334,7.47738196216028,-22.809833310205,RSL
53,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,7.47738196216028,2.67848185050752,RSL
54,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,CYTBD,pFBAOpt_Rxns,43.5989411419112,43.5990296328001,7.47738196216028,43.5989853119975,RSL
55,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TALA,pFBAOpt_Rxns,1.49690092662001,1.49706021022007,7.47738196216028,1.49698375726155,RSL
56,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TKT1,pFBAOpt_Rxns,1.49690092662001,1.49706021022007,7.47738196216028,1.49698375726155,RSL
57,FBA,pFBAOpt_Rxns,7.47730610417989,7.47746538778006,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,7.47738196216028,1.18149809324598,RSL
58,FUM,pFBAOpt_Rxns,5.06430700438,5.06446628798005,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,5.06437566148213,2.50430947036873,RSL
59,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,PFK,pFBAOpt_Rxns,7.47730610417998,7.47748529822998,4.95998494457467,7.47738196216028,RSL
60,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,4.95998494457467,4.86086114649686,RSL
61,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,4.95998494457467,2.67848185050752,RSL
62,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,TALA,pFBAOpt_Rxns,1.49690092662001,1.49706021022007,4.95998494457467,1.49698375726155,RSL
