Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS100,0,7.26000167372565e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS60,0,3.45716044558575e-06,0,0,0.122291685783469,0
ACOAD1f,-0.349704317856322,-0.349700245433382,3OAS80,0,3.45716215406355e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD100,0,7.26000167372565e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD40,0,3.45715863647733e-06,0,-0.0157822625544668,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD60,0,3.45716044558575e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3HAD80,0,3.45716215406355e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR100,0,7.2600016665092e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR40,0,3.45715864114027e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR60,0,3.45716046012967e-06,0,0,0.122291685783469,0
ACOAD2f,-0.349704317856322,-0.349700245433382,3OAR80,0,3.45716216543224e-06,0,0,0.122291685783469,0
