Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
GAPD,ATPS4rpp,pFBAOpt_Rxns,pFBAOpt_Rxns
H2Otpp,H2Otex,pFBAOpt_Rxns,pFBAOpt_Rxns
Htex,CO2tex,ELE_Rxns,pFBAOpt_Rxns
MTHFC,GARFT,ELE_Rxns,ELE_Rxns
MTHFD,GARFT,ELE_Rxns,ELE_Rxns
NDPK1,ADK1,ELE_Rxns,ELE_Rxns
O2tex,DKMPPD3,pFBAOpt_Rxns,MLE_Rxns
O2tex,FBA,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tex,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tpp,DKMPPD3,pFBAOpt_Rxns,MLE_Rxns
O2tpp,FBA,pFBAOpt_Rxns,pFBAOpt_Rxns
O2tpp,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns
PFK,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
PFK,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PGCD,GHMT2r,ELE_Rxns,ELE_Rxns
PGK,ATPS4rpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PGK,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
PGK,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PGM,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
PGM,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
PPC,MALS,ELE_Rxns,ELE_Rxns
PPC,MDH,ELE_Rxns,pFBAOpt_Rxns
PPC,O2tex,ELE_Rxns,pFBAOpt_Rxns
PPC,O2tpp,ELE_Rxns,pFBAOpt_Rxns
PSERT,GHMT2r,ELE_Rxns,ELE_Rxns
PSP_L,GHMT2r,ELE_Rxns,ELE_Rxns
RPI,RPE,ELE_Rxns,ELE_Rxns
SUCDi,PPC,pFBAOpt_Rxns,ELE_Rxns
TALA,RPI,ELE_Rxns,ELE_Rxns
TKT1,RPE,ELE_Rxns,ELE_Rxns
TKT1,RPI,ELE_Rxns,ELE_Rxns
TKT1,TALA,ELE_Rxns,ELE_Rxns
TKT2,RPE,ELE_Rxns,ELE_Rxns
TKT2,RPI,ELE_Rxns,ELE_Rxns
TKT2,TALA,ELE_Rxns,ELE_Rxns
TKT2,TKT1,ELE_Rxns,ELE_Rxns
TPI,FBA,pFBAOpt_Rxns,pFBAOpt_Rxns
TPI,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
TPI,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
TPI,PFK,pFBAOpt_Rxns,pFBAOpt_Rxns
3HAD180,3OAS181,ELE_Rxns,ELE_Rxns
3HAD181,3OAS180,ELE_Rxns,ELE_Rxns
3HAD181,3HAD180,ELE_Rxns,ELE_Rxns
3OAR180,3OAS181,ELE_Rxns,ELE_Rxns
3OAR180,3HAD181,ELE_Rxns,ELE_Rxns
3OAR181,3OAS180,ELE_Rxns,ELE_Rxns
3OAR181,3HAD180,ELE_Rxns,ELE_Rxns
3OAR181,3OAR180,ELE_Rxns,ELE_Rxns
AKGDH,SUCOAS,pFBAOpt_Rxns,pFBAOpt_Rxns
ENO,O2tex,pFBAOpt_Rxns,pFBAOpt_Rxns
ENO,O2tpp,pFBAOpt_Rxns,pFBAOpt_Rxns
FUM,PPC,pFBAOpt_Rxns,ELE_Rxns
