3NTD2pp
EX_dump_e
EX_duri_e
EX_ala__L_e
EX_melib_e
EX_met__L_e
EX_metsox_R__L_e
EX_metsox_S__L_e
EX_f6p_e
EX_g3pc_e
EX_fald_e
EX_mnl_e
EX_fe3dhbzs_e
EX_fe3hox_e
EX_fe3hox_un_e
EX_fecrm_e
EX_n2o_e
EX_fecrm_un_e
EX_nac_e
EX_feoxam_e
EX_g3pi_e
EX_feoxam_un_e
EX_fru_e
EX_nmn_e
EX_no2_e
EX_no3_e
EX_no_e
EX_g3ps_e
EX_fuc__L_e
EX_ocdca_e
EX_g6p_e
EX_ocdcea_e
EX_octa_e
EX_gal1p_e
EX_orot_e
EX_udpgal_e
EX_udpglcur_e
EX_gal_bD_e
EX_ump_e
EX_gal_e
EX_ura_e
EX_oaa_e
EX_galct__D_e
EX_galctn__D_e
EX_pnto__R_e
EX_ppa_e
EX_xmp_e
EX_xyl__D_e
EX_xylu__L_e
EX_pro__L_e
BIOMASS_Ec_iAF1260_core_59p81M
EX_progly_e
EX_galt_e
EX_pser__L_e
F6Pt6_2pp
F6Ptex
EX_r5p_e
EX_gam6p_e
EX_rib__D_e
EX_rmn_e
EX_sbt__D_e
EX_gam_e
EX_ser__D_e
EX_so3_e
EX_spmd_e
FACOAL100t2pp
EX_tartr__L_e
EX_tcynt_e
EX_thm_e
EX_thrp_e
EX_glcr_e
EX_tma_e
FACOAL80t2pp
EX_tmao_e
EX_tre_e
EX_tsul_e
EX_ttdca_e
EX_ttdcea_e
EX_glcur1p_e
FALDtex
FALDtpp
EX_glcur_e
EX_tyrp_e
EX_uacgam_e
FALGTHLs
EX_udpacgal_e
EX_gln__L_e
EX_udpg_e
FCI
FCLK
FCLPA
EX_gly_e
FE3DHBZStonex
FE3Ri
FE3DHBZR
FE3DHBZSabcpp
G1PPpp
EX_glyc2p_e
G1Ptex
G2PPpp
EX_gmp_e
EX_gsn_e
G3PCtex
G3PIabcpp
G3PItex
EX_h2_e
G3PSabcpp
G3PStex
FRUK
FRUpts2pp
FRUptspp
FRUtex
G6Pt6_2pp
FUCtex
G6Ptex
GAL1PPpp
GAL1Ptex
FUCtpp
GALBDtex
GALCTNt2pp
GALCTNtex
GALCTt2rpp
GALCTtex
GALKr
GAMptspp
GAMtex
GALM2pp
GALS3
GALTtex
EX_hacolipa_e
GALabcpp
GALt2pp
EX_halipa_e
GALtex
GAM6Pt6_2pp
GAMAN6Ptex
EX_hdca_e
EX_hdcea_e
GLYC2Ptex
GLCRAL
GLCRD
GLCRt2rpp
GLCRtex
GLCUR1Ptex
GLCURt2rpp
GLCURtex
GLNabcpp
GLNtex
GLUNpp
GLYt2pp
GLYtex
EX_imp_e
EX_inost_e
GMPtex
GPDDA1pp
GPDDA3
GPDDA3pp
GPDDA5
GPDDA5pp
GSNt2pp
GSNtex
GUR1PPpp
EX_lac__L_e
H2tex
H2tpp
HBZOPT
HDCAtexi
EX_lyx__L_e
HDCEAtexi
EX_mal__L_e
EX_malt_e
EX_malthx_e
EX_maltpt_e
IMPtex
EX_malttr_e
EX_maltttr_e
INSTtex
EX_man6p_e
EX_man_e
KG6PDC
MALtex
MAN6Pt6_2pp
MAN6Ptex
MANptspp
MANtex
LCARS
MELIBtex
METSOX1abcpp
METSOX1tex
METSOX2abcpp
METSOX2tex
METabcpp
METtex
MLTG1
MLTG2
MNLptspp
MNLtex
NHFRBO
NMNPtpp
N2Otex
NMNt7pp
NMNtex
N2Otpp
NACtex
NACtpp
NO2t2rpp
NO2tex
NO3R1bpp
NO3R1pp
NO3R2bpp
NO3R2pp
NO3t7pp
NO3tex
NODOx
NTD12pp
NODOy
NOtex
NTD1pp
NTD2pp
NOtpp
NTD3pp
NTD4pp
NTD10pp
NTD11pp
NTD5pp
NTD6pp
NTD7pp
OPHBDC
OPHHX
NTD8pp
NTD9pp
OPHHX3
OROTt2_2pp
OAAt2_2pp
OROTtex
OAAtex
OXAMTC
NTRIR2x
NTRIR3pp
NTRIR4pp
OCDCAtexi
OCDCEAtexi
LYXI
OCTAtex
OCTDPS
LYXt2pp
LYXtex
OHPBAT
PDX5PO2
L_LACD2
PDX5POi
PDX5PS
L_LACD3
L_LACt2rpp
PERD
L_LACtex
PFK_2
M1PD
MALTHXabcpp
MALTHXtexi
MALTPTabcpp
PNTOt4pp
MALTPTtexi
PNTOtex
MALTTRabcpp
MALTTRtexi
PPAt4pp
PPAtex
MALTTTRabcpp
MALTTTRtexi
MALTabcpp
PROGLYabcpp
PROGLYtex
PROabcpp
PROt4pp
PROtex
MALTtexi
EX_airs_e
MALt2_2pp
PSERtex
PSP_Lpp
R5PPpp
R5Ptex
PTHRpp
RBK_L1
RBP4E
RIBabcpp
RIBtex
RMI
RMK
RMNtex
RMNtpp
RMPA
SBTPD
SBTptspp
SFGTHi
THMabcpp
SBTtex
THMtex
TTDCAtexi
THRPtex
TTDCEAtexi
TYRPpp
TYRPtex
UACGALPpp
UACGAMPpp
TMAOR1pp
TMAOR2pp
UACGAMtex
TMAOtex
TMAtex
TMK
TMPPP
UDPACGALtex
UDPGALPpp
UDPGALtex
TREHpp
TREptspp
TREtex
SO3tex
UDPGLCURtex
UDPGPpp
UDPGtex
UGLCURPpp
UGLT
TSULabcpp
TSULtex
UGLYCH
URDGLYCD
SPMDabcpp
UMPtex
SPMDtex
URAt2pp
URAtex
X5PL3E
XMPtex
PPDD
XYLI1
XYLK
XYLK2
XYLUt2pp
XYLUtex
XYLtex
XYLt2pp
THZPSN
EX_AEP_e
AEPtex
AEPabcpp
AEPPYRTA
PALDH
EX_4hoxpac_e
4hoxpactex
4HOXPACt2pp_1
4HOXPACMON
4HOXPACMOF_1
34DHPACDO
CMCMSAD
CMHMI
OPTCCL
2HH24DDH
4H2KPILY
TARTRtex
TCYNTtex
AIRStex
AIRStpp
CSNt2pp
3PGt6pp
2PGt6pp
PEPt6pp
EX_pep_e
FALDH2
PEPtex
EX_2pg_e
2PGtex
EX_3pg_e
LIPAHT2ex
LIPAHTex
3PGtex
TARTD
TARTRtpp
GLTPD
TGBPA
GUI1
MNNH
MANAO
DAPAL
HYD1pp
HYD2pp
HYD3pp
CITt4pp
EX_tet_e
TETtex
DDGLCNt2rpp
CITt_kt
CITtupp
EX_tartr__D_e
TARTRDtex
ICITtupp
ACONCtupp
TARTRDtpp
GALCTD
GALTptspp
FEROXBFEabcpp
MALt2_3pp
DMSOR1pp
DMSOR2pp
EX_tag__D_e
TAGtex
TAGptspp
TAG1PK
TETDHpp1
TSULDHpp1
TETDHpp2
TSULDHpp2
FEROXEFEabcpp
TETDHpp3
TSULDHpp3
EX_feroxB_e
FEROXGFEabcpp
EX_feroxBfe_e
EX_feroxE_e
EX_feroxEfe_e
EX_feroxG_e
EX_feroxGfe_e
AIRSK
FEROXGFEtonex
FEROXBFEtex
PYDXtex
FEROXEFEtex
PYDXtpp
PYDXNtex
PYDXNtpp
4HTHRtex
FEROXGtex
4HTHRtrpp
4HTHRK
FEROXEtex
FEROXBtex
INOSTtpp
FEROXBtpp
FEROXEtpp
EX_rnam_e
EX_tcb_e
EX_tton_e
FEROXGtpp
EX_4hthr_e
EX_drib_e
EX_guln__L_e
EX_dxyl_e
DRIBtpp
DRBK
FEROXBFER1
FEROXBFER2
DRIBtex
SCYSSL
FEROXBFER3
SLCYSS
FEROXEFER1
FEROXEFER2
FEROXEFER3
FEROXGFER1
FEROXGFER2
FEROXGFER3
GULNLtex
GULNLtpp
GULNLR
DXYLUDtex
DXYLUDtpp
INOSR
MMSAD3
2HH24DDH1
GALCTND
DDPGALA
D5KGK
D5KGPA
DHEDAA
DKDID
2INSD
DTARTD
NMNR
RNMK
TCBO
RNAMtex
RNAMtpp
TCBt2pp
TCBt2ex
TTONR1pp
TTONtex
TTONR2pp
pa2_ST
ps2_ST
