EX_cmp_e
EX_ppa_e
EX_ppt_e
EX_progly_e
14GLUCANabcpp
14GLUCANtexi
EX_psclys_e
EX_pser__L_e
23CAMPtex
23CCMPtex
EX_pydam_e
EX_pydx_e
23CGMPtex
EX_hacolipa_e
23CUMPtex
23DAPPAt2pp
23DAPPAtex
EX_pydxn_e
23PDE2pp
EX_halipa_e
23PDE4pp
23PDE7pp
23PDE9pp
EX_r5p_e
EX_rib__D_e
EX_rmn_e
26DAHtex
EX_ser__D_e
EX_hdca_e
EX_skm_e
EX_so3_e
EX_hdcea_e
EX_sucr_e
EX_sulfac_e
EX_tartr__D_e
EX_tartr__L_e
EX_taur_e
EX_tcynt_e
EX_thm_e
EX_thrp_e
EX_thymd_e
EX_tma_e
EX_tmao_e
EX_tre_e
EX_tsul_e
EX_ttdca_e
EX_ttdcea_e
EX_tyrp_e
EX_uacgam_e
EX_udpacgal_e
EX_udpg_e
EX_udpgal_e
EX_udpglcur_e
EX_ump_e
EX_imp_e
EX_inost_e
EX_ins_e
3AMPtex
3CMPtex
3GMPtex
EX_lac__L_e
EX_lcts_e
3NTD2pp
3NTD4pp
AAMYL
3NTD7pp
3NTD9pp
ACACCT
EX_lipoate_e
ACACt2pp
ACACtex
EX_lyx__L_e
EX_mal__D_e
ACGAL1PPpp
ACGAL1Ptex
ACGALtex
ACGAM1PPpp
ACGAM1Ptex
3UMPtex
EX_malt_e
ACGAptspp
ACGAtex
EX_malthx_e
EX_maltpt_e
ADNt2pp
ADNtex
EX_malttr_e
ACMANAptspp
EX_maltttr_e
ADOCBLabcpp
ACMANAtex
EX_man_e
ACMUMptspp
ACMUMtex
ADOCBLtonex
ACNAMt2pp
ACNAMtex
ACNML
EX_man6p_e
EX_manglyc_e
EX_melib_e
EX_met__L_e
EX_metsox_R__L_e
EX_metsox_S__L_e
ALDD4
EX_minohp_e
ALTRH
ARBtex
EX_mnl_e
AMALT1
AMALT2
AMALT3
AMALT4
AMANAPEr
AMANK
AMMQLT8
ASCBPL
ASCBptspp
ASCBtex
AMPTASEPG
EX_mso3_e
AMPtex
EX_n2o_e
ARAI
EX_nmn_e
BALAt2pp
BALAtex
BTNt2ipp
BTNtex
BUTCT
BUTSO3abcpp
BUTSO3tex
BUTt2rpp
BUTtex
CHTBSptspp
CHTBStex
CBL1abcpp
CBL1tonex
CBLAT
CMPtex
CHLtex
DADNt2pp
DADNtex
DHNAOT4
DHNCOAS
DHNCOAT
DAMPtex
DAPAL
DAPabcpp
DC6PH
DCAtex
DIMPtex
DINSt2pp
DINStex
DCMPtex
DCYTt2pp
DCYTtex
DDCAtexi
DDGLCNt2rpp
DDGLCNtex
DMQMT
DDGLK
DGMPtex
DMSOR1pp
DMSOR2pp
DGSNt2pp
CU1Opp
DGSNtex
DMSOtex
DMStex
DSERt2pp
DSERtex
DTARTD
DURIt2pp
DURItex
DTMPtex
DUMPtex
DXYLK
CUtex
CYANSTpp
ETHSO3tex
CYANtex
F6Pt6_2pp
F6Ptex
CYSDDS
CYSDabcpp
CYSDtex
FACOAL100t2pp
FACOAL80t2pp
FALDH2
FALDtex
FALDtpp
FALGTHLs
ETHSO3abcpp
FDMO2
FDMO3
FDMO4
FDMO6
FE3DCITtonex
FE3DHBZR
FE3DHBZSabcpp
FE3DHBZStonex
FE3DCITabcpp
FRUK
FRULYSDG
FRULYSE
FRULYSK
FRULYSt2pp
FRULYStex
FRUpts2pp
FRUptspp
FRUtex
FUMt2_2pp
FUMt2_3pp
FUMtex
G1PPpp
G1Ptex
G2PPpp
G3PCtex
FESD2s
G6Ptex
G3PItex
G3PStex
G6Pt6_2pp
GAL1PPpp
GLCRtex
GAL1Ptex
GALBDtex
GLCUR1Ptex
GLCURt2rpp
GLCURtex
GALCTD
GALCTLO
GLNabcpp
GLNtex
GALCTNLt2pp
GMPtex
GLUNpp
GALCTNLtex
GPDDA1pp
GPDDA3pp
GPDDA5pp
GLYC2Ptex
GSNt2pp
GSNtex
GALCTt2rpp
GALCTtex
GALKr
GALM2pp
H2tex
GTPtex
H2tpp
GUI1
GUR1PPpp
GALabcpp
HDCAtexi
GALt2pp
HYD1pp
HYD2pp
HYD3pp
HDCEAtexi
HEMEOS
GALtex
I2FE2SR
GAM6Pt6_2pp
GAMAN6Ptex
GAMptspp
GAMtex
IMPtex
INSt2pp
INStex
KG6PDC
L_LACD2
LIPOtex
L_LACD3
L_LACt2rpp
L_LACtex
LACZpp
LALADGLUtex
LALADGLUtpp
LALALGLUtex
LALALGLUtpp
GDPtex
LCTStex
LIPAHT2ex
LIPAHTex
LIPAMPL
LIPATPT
LIPOCT
LIPOS
LIPOt2pp
LYXI
LYXt2pp
LYXtex
M1PD
MALDDH
MALDt2_2pp
MALDtex
MALTHXabcpp
MALTHXtexi
MALTPTabcpp
MALTPTtexi
MALTTRabcpp
MALTTRtexi
MALTTTRabcpp
MALTTTRtexi
MALTabcpp
MALTtexi
MAN6PI
MAN6Pt6_2pp
MELIBtex
MAN6Ptex
MANAO
MANGLYCptspp
MANGLYCtex
MANPGH
MANptspp
MANtex
METSOX1abcpp
METSOX1tex
METSOX2abcpp
METSOX2tex
METabcpp
METtex
GLCRAL
GLCRD
MNLptspp
MNLtex
MNNH
GLCRt2rpp
MINOHPtexi
MOCDS
MLTG1
MLTG2
MOGDS
MSO3abcpp
MSO3tex
NTD11pp
NTD12pp
N2Otex
N2Otpp
NTD1pp
NTD2pp
NTD3pp
NTD4pp
NTD5pp
NTD6pp
NTD7pp
NTD8pp
NTD9pp
OHPHM
OMBZLM
OMMBLHX
NTP3pp
OMMBLHX3
OMPHHX
OMPHHX3
NTRIR2x
NTRIR3pp
NTRIR4pp
OROTt2_2pp
OROTtex
OCDCAtexi
OCDCEAtexi
OCTAtex
OCTNLL
NHFRBO
PHYTSpp
NMNPtpp
NMNt7pp
NMNtex
PPAt4pp
PPAtex
NO2t2rpp
PNTOt4pp
NO2tex
PNTOtex
NO3R1bpp
PPTHpp
NO3R1pp
PPTtex
NO3R2bpp
NO3R2pp
NO3t7pp
PTHRpp
PROGLYabcpp
NO3tex
PROGLYtex
NODOx
PSCLYSt2pp
PSCLYStex
NODOy
PYDAMtex
PYDAMtpp
PYDXNtex
PYDXNtpp
PSERtex
PSP_Lpp
PYDXtex
PYDXtpp
RIBtex
NOtex
RMI
RMK
NOtpp
RMNtex
RMNtpp
RMPA
R5PPpp
R5Ptex
RBK_L1
RBP4E
NTD10pp
S2FE2SR
RIBabcpp
TMAOR1pp
TMAOR2pp
SEPHCHCS
TMAOtex
TMAtex
TMK
SFGTHi
SHCHCS3
SKMt2pp
TREptspp
TREtex
SKMtex
SUCRtex
SO3tex
TSULabcpp
TSULtex
TTDCAtexi
TTDCEAtexi
SUCptspp
TYRPpp
TYRPtex
SUCBZL
SUCBZS
SULFACabcpp
SULFACtex
UACGALPpp
UACGAMPpp
UACGAMtex
TAGURr
X5PL3E
XMPtex
TARTD
UDPACGALtex
XYLI1
UDPG4E
TARTRDtex
UDPGALPpp
UDPGALtex
UDPGLCURtex
UDPGPpp
XYLK
XYLK2
XYLUtex
XYLt2pp
XYLtex
UDPGtex
UGLCURPpp
UGLT
TARTRtex
TARTt2_3pp
EX_4hphac_e
UMPtex
CMCMSAD
TAUDO
TAURabcpp
DHEDAA
TAURtex
4HOXPACt2pp
TCYNTtex
DHPDO
OPTCCL
HPA3MO
DXYLUDtex
EX_oaa_e
EX_salchs2fe_e
SLCYSS
4HOXPACMOF
THMDt2pp
THMDtex
SALCHS4FEexs
CMHMI
EX_dxyl_e
THMabcpp
4H2KPILY
SALCHS2FEexs
THMtex
2HH24DDH
NPHS
EX_salchs4fe_e
OAAt2_2pp
THRPtex
OAAtex
EX_salchs4_e
SCYSSL
NMNR
DXYLUDtpp
EX_3hoxpac_e
EX_salchs2_e
RAFHpp
OPETDC
EX_rnam_e
XYLUt2pp
RAFFtex
3hoxpactex
6APAt1
SUCR
EX_6apa_e
SUCtpp
EX_peng_e
EX_pac_e
PENGt1
PENAM
EX_raffin_e
3HOXPACt2pp
PACt1
3HPAOX
HPAtex
FFSD
