MAN6PI
CHOLD
EX_arbtn_fe3_e
EX_cpgn_e
EX_ch4_e
EX_adocbl_e
GAMtex
DAPabcpp
DMSOR1pp
ALLabcpp
ASCBptspp
HYD2pp
NACtpp
INSTtex
GLCRtex
GLCURtex
GLNtex
EX_ppa_e
OCTAtex
NTD8pp
FRULYStex
MALTtexi
EX_no_e
DGSNt2pp
DINSt2pp
DURIt2pp
FRUptspp
FUCtpp
GALCTt2rpp
GALt2pp
CSNt2pp
CYNTt2pp
SBTptspp
TREHpp
DADNt2pp
DCYTt2pp
DDGLCNt2rpp
RMNtex
EX_fe3hox_e
EX_fecrm_e
EX_feoxam_e
MALTTRtexi
MALTTTRtexi
MALTPTtexi
EX_3amp_e
EX_3gmp_e
EX_3ump_e
LCTStex
FDMO3
LYXtex
MANtex
MAN6Ptex
FDMO4
BUTSO3abcpp
ETHSO3abcpp
MELIBtex
DMSOtex
DURItex
EX_mal__D_e
FRUtex
FUCtex
MALDDH
NMNtex
NO2tex
LYXI
BUTt2rpp
23CAMPtex
23CCMPtex
23CUMPtex
23CGMPtex
3AMPtex
3CMPtex
GDPtex
TMAtex
TMAOtex
TREtex
PNTOtex
FRULYSK
FDMO6
TSULtex
SULFACabcpp
ETHSO3tex
BUTSO3tex
LIPOtex
CYANSTpp
XYLtex
PPPNtex
METSOX1abcpp
PPTtex
GALBDtex
LIPAHT2ex
LIPAHTex
EX_mso3_e
EX_23camp_e
EX_23cgmp_e
EX_23cump_e
NODOy
GALM2pp
SULFACtex
EX_sulfac_e
EX_butso3_e
EX_ethso3_e
DSERtex
NODOx
NOtex
NOtpp
NHFRBO
N2Otpp
N2Otex
42A12BOOXpp
TYROXDApp
PACALDt2rpp
PEAMNtex
PACALDtex
LIPOt2pp
ACGAL1Ptex
ACGALtex
GLCUR1Ptex
UDPGLCURtex
UDPGALPpp
UACGAMPpp
UACGALPpp
UGLCURPpp
ISETACabcpp
ISETACtex
GUR1PPpp
UDPGtex
ACGAL1PPpp
UDPGALtex
ACGAM1Ptex
UACGAMtex
UDPACGALtex
CBLAT
NTRIR4pp
NTRIR3pp
INOSTt4pp
CYANtex
SO3tex
TCYNTtex
METSOX2abcpp
METSOX1tex
METSOX2tex
3UMPtex
MSO3abcpp
MSO3tex
3GMPtex
FALDtpp
EX_tym_e
DAPAL
EX_imp_e
DOPAtex
4HOXPACDtex
LACZpp
GPDDA1pp
GPDDA5pp
G3PStex
PTHRpp
FDMO2
SKMt2pp
GLYC2Ptex
PSERtex
TARTRtex
R5Ptex
THRPtex
TYRPtex
R5PPpp
PSP_Lpp
TYRPpp
TAURtex
MALTabcpp
MALTHXabcpp
MALTPTabcpp
AAMYL
AAMYLpp
MALTTRabcpp
MALTTTRabcpp
MAN6Pt6_2pp
FACOAL80t2pp
MANGLYCptspp
ACGAtex
DDCAtexi
TTDCAtexi
HDCAtexi
EX_fe3hox_un_e
EX_23dappa_e
RMNtpp
23PDE2pp
23PDE4pp
23PDE9pp
MNLptspp
NMNPtpp
NO2t2rpp
NO3t7pp
PNTOt4pp
FRULYSDG
MNLtex
LYXt2pp
OCDCAtexi
OCDCEAtexi
GLUNpp
G6Ptex
ADOCBLabcpp
EX_fecrm_un_e
NTD10pp
NTD1pp
EX_gmp_e
NTD2pp
NACtex
NTD3pp
NTD4pp
NTD5pp
EX_h2o2_e
EX_ump_e
EX_pydam_e
NTD6pp
NTD7pp
NTD9pp
PEAMNOpp
GAL1PPpp
H2O2tex
ALLPI
ALLK
ALLULPE
BALAtex
MANGLYCtex
EX_frulys_e
AMPtex
FRUURt2rpp
FRUURtex
ARBtex
ASCBtex
FACOAL100t2pp
RIBabcpp
GPDDA3pp
BUTtex
EX_hacolipa_e
HCYSMT2
FALDH2
CHLtex
MMETtex
MMETt2pp
GLNabcpp
HCINNMt2rpp
14GLUCANabcpp
14GLUCANtexi
DINStex
FALGTHLs
NTD12pp
DIMPtex
EX_hdca_e
EX_glcr_e
3NTD7pp
DMStex
3NTD4pp
3NTD2pp
3NTD9pp
RMK
23PDE7pp
GALTptspp
GALURt2rpp
CSNtex
GLCRt2rpp
PPPNt2rpp
GLCURt2rpp
ACMUMptspp
CYNTtex
EX_mnl_e
EX_malt_e
DADNtex
EX_pnto__R_e
GALabcpp
HPPPNt2rpp
DCAtex
EX_no2_e
DCYTtex
EX_gam_e
ACACtex
ACNAMtex
EX_inost_e
DGSNtex
DMSOR2pp
EX_ddca_e
HYD3pp
NO3R1pp
CELBpts
EX_r5p_e
EX_glyc2p_e
EX_halipa_e
MANptspp
EX_cmp_e
GALCTD
EX_malthx_e
EX_csn_e
TYMtex
EX_pacald_e
EX_dmso_e
CMPtex
DUMPtex
XMPtex
EX_pppn_e
EX_acgam1p_e
NTD11pp
EX_galt_e
FALDtex
EX_glcur1p_e
AMALT2
EX_thrp_e
CYSDtex
CYSDabcpp
EX_fald_e
EX_pydxn_e
EX_acgal_e
EX_dms_e
GMPtex
IMPtex
G3PItex
G3PCtex
UMPtex
G1Ptex
SKMtex
GAL1Ptex
G2PPpp
UDPGPpp
EX_acgal1p_e
EX_cyan_e
EX_tyrp_e
O2Stex
ALDD3y
EX_uacgam_e
EX_udpacgal_e
EX_udpg_e
EX_udpgal_e
EX_udpglcur_e
EX_14glucan_e
EX_pser__L_e
EX_xmp_e
EX_damp_e
EX_dimp_e
EX_isetac_e
EX_tcynt_e
EX_feoxam_un_e
EX_g3pc_e
EX_g3pi_e
SUCBZL
CYSDDS
EX_g3ps_e
EX_peamn_e
EX_34dhpac_e
DAMPtex
DCMPtex
DGMPtex
DTMPtex
GALKr
G3PIabcpp
G1PPpp
GALCTND
G3PSabcpp
AMALT4
NO3tex
TTDCEAtexi
HDCEAtexi
EX_orot_e
G3PCabcpp
AMPTASEPG
PROGLYabcpp
RIBtex
THMtex
XYLUtex
EX_manglyc_e
ALLtex
FRUpts2pp
EX_metsox_R__L_e
34dhpactex
G6Pt6_2pp
MALTHXtexi
HYD1pp
H2tpp
23DAPPAtex
ACGAM1PPpp
EX_dgmp_e
GAMptspp
EX_4hoxpacd_e
EX_3hpppn_e
EX_man6p_e
SBTtex
EX_tsul_e
EX_n2o_e
GUI2
OMBZLM
EX_maltttr_e
GPDDA3
EX_dtmp_e
EX_lipoate_e
EX_pydx_e
EX_g1p_e
MINOHPtexi
SFGTHi
DHNAOT4
F6Pt6_2pp
PPALtpp
GAM6Pt6_2pp
PPALtex
CUtex
CU1Opp
PROGLYtex
EX_progly_e
F6Ptex
GAMAN6Ptex
EX_gal_bD_e
EX_dump_e
EX_o2s_e
EX_gal1p_e
EX_dcmp_e
EX_23ccmp_e
EX_3cmp_e
EX_urate_e
EX_skm_e
EX_cpgn_un_e
EX_cys__D_e
OMMBLHX3
EX_cu_e
EX_arbtn_e
23DAPPAt2pp
EX_dopa_e
EX_tartr__D_e
GALCTNt2pp
GALCTNLtex
EX_galctn__L_e
DSERt2pp
BGLA1
MALDtex
OROTtex
AMMQLT8
PPAt4pp
OROTt2_2pp
MALDt2_2pp
DTARTD
FRULYSE
FRULYSt2pp
EX_psclys_e
PSCLYSt2pp
BALAt2pp
DM_aacald_c
PPAtex
GALCTNLt2pp
GALCTLO
EX_ppal_e
PSCLYStex
LIPAabctex
XYLK2
LALADGLUtex
LALALGLUtpp
MPTAT
MOADSUx
EX_LalaDglu_e
REPHACCOAI
LALALGLUtex
LALADGLUtpp
OXCOAHDH
DHACOAH
EX_LalaLglu_e
LIPOS
MPTSS
CPMPS
LIPOCT
LIPATPT
LIPAMPL
ALDD19xr
MOGDS
SHCHCS3
CH4tex
TARTRDtex
3OXCOAT
BTNt2ipp
BTNtex
PYDXtex
PYDXtpp
METGLCUR
PYDXNtex
PYDXNtpp
PYDAMtex
PYDAMtpp
OMPHHXy
SQVOSI
6D6SPA
DHPStr
SQtr
DHPStex
G2PP
QUIN2tpp
GLYC2Pabcpp
SEPHCHCS
DHNCOAS
DHNCOAT
6D6SFK
3SLAR
SQtex
EX_dhps_e
URATEtex
CBL1tonex
CPL
EX_mepn_e
CH4t2pp
METGLCURt2pp
METGLCURtex
INOSTO
QUINDHyi
EX_sq_e
URATEtpp
ADOCBLtonex
QUINDH
ARMEPNS
MOCDS
BIOMASS_Ec_iML1515_WT_75p37M
RPNTPH
PRCPD
MEPNtex
MEPNabcpp
OMMBLHXy
F1PP
QUIN2tex
EX_metglcur_e
EX_quin_e
PACCOAE
OXDHCOAT
HADPCOADH3
COLIPAabctex
MPTS
MOCOS
FESD2s
OCTNLL
