,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn_1_Prod,Rxn_2_Prod,Type
49,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR40,ELE_Rxns,0.0,8.88249729091899,0.0,0.0,-64.28278458197643,0.0,PSL
50,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR60,ELE_Rxns,0.0,8.88249729091774,0.0,0.0,-64.28278458197643,0.0,PSL
51,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR80,ELE_Rxns,0.0,8.88249729091922,0.0,0.0,-64.28278458197643,0.0,PSL
52,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-64.28278458197643,0.0,PSL
53,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR100,ELE_Rxns,0.0,18.5891438150126,0.0,0.0,-64.28278458197643,0.0,PSL
54,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-64.28278458197643,0.0,PSL
55,ACOAD1f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAS80,ELE_Rxns,0.0,8.88249729091918,0.0,0.0,-64.28278458197643,0.0,PSL
56,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD100,ELE_Rxns,0.0,18.5891438150125,0.0,0.0,-64.28278458197643,0.0,PSL
57,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD40,ELE_Rxns,0.0,8.88249729091898,0.0,0.0,-64.28278458197643,0.0,PSL
58,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD60,ELE_Rxns,0.0,8.88249729091779,0.0,0.0,-64.28278458197643,0.0,PSL
59,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3HAD80,ELE_Rxns,0.0,8.88249729091918,0.0,-0.0051138002733068,-64.28278458197643,0.0,PSL
60,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR40,ELE_Rxns,0.0,8.88249729091899,0.0,0.0,-64.28278458197643,0.0,PSL
61,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR60,ELE_Rxns,0.0,8.88249729091774,0.0,0.0,-64.28278458197643,0.0,PSL
62,ACOAD2f,ELE_Rxns,-7.25128880445573,8.86501507738546,3OAR80,ELE_Rxns,0.0,8.88249729091922,0.0,0.0,-64.28278458197643,0.0,PSL
