,Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class,Subsystem 1,Subsystem 2
47,MMSAD1,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
48,MMSAD1,HACD9,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
49,MMSAD1,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
50,MMSAD1,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
51,MMSAD1,BKDC1,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
52,MMSAD1,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
53,FCLT,FETRANS,pFBAOpt_Rxns,ELE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Redox Metabolism
54,FCLT,FCLT2,pFBAOpt_Rxns,ELE_Rxns,Cofactor and Prosthetic Group Biosynthesis,Cofactor and Prosthetic Group Biosynthesis
55,MAN1PT2,MAN1PT,pFBAOpt_Rxns,MLE_Rxns,Fructose and mannose metabolism,Fructose and mannose metabolism
56,MECDPDH,IPDDI,pFBAOpt_Rxns,ELE_Rxns,Polyprenyl Metabolism,Polyprenyl Metabolism
57,MECDPDH,HMEDS,pFBAOpt_Rxns,MLE_Rxns,Polyprenyl Metabolism,Polyprenyl Metabolism
58,MECDPDH,HMEDR,pFBAOpt_Rxns,MLE_Rxns,Polyprenyl Metabolism,Polyprenyl Metabolism
59,NDPK3,NTD4,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
60,PGMT,MTI,pFBAOpt_Rxns,ELE_Rxns,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism
61,PGMT,MAK,pFBAOpt_Rxns,ELE_Rxns,Glycolysis/Gluconeogenesis,Others
62,PGMT,GLGE,pFBAOpt_Rxns,ELE_Rxns,Glycolysis/Gluconeogenesis,Starch and sucrose metabolism
63,PGMT,GLGP,pFBAOpt_Rxns,MLE_Rxns,Glycolysis/Gluconeogenesis,Starch and sucrose metabolism
64,PUNP5,HXPRT,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
65,RPE,GND,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
66,RPE,G6PDH2r,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
67,RPE,PGL,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
68,SHSL4r,THRD_L,pFBAOpt_Rxns,ELE_Rxns,Cysteine and methionine metabolism,Cysteine and methionine metabolism
69,TDMS3,OTSB1,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Mycolic acid pathway
70,TDMS3,TMMYCO,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Mycolic acid pathway
71,TDMS3,FBPA,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Mycolic acid pathway
72,TKT2,GND,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
73,TKT2,G6PDH2r,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
74,TKT2,PGL,pFBAOpt_Rxns,MLE_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
75,URIDK2r,DUTPDP,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
76,P5CR,P5CRx,pFBAOpt_Rxns,ELE_Rxns,Arginine and Proline Metabolism,Arginine and Proline Metabolism
77,TRE6PP,TREY,pFBAOpt_Rxns,MLE_Rxns,Membrane Metabolism,Starch and sucrose metabolism
78,TRPS1,TRPS2,pFBAOpt_Rxns,ELE_Rxns,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","Tyrosine, Tryptophan, and Phenylalanine Metabolism"
79,TRPS1,TRPS3,pFBAOpt_Rxns,ELE_Rxns,"Tyrosine, Tryptophan, and Phenylalanine Metabolism","Tyrosine, Tryptophan, and Phenylalanine Metabolism"
80,HDECH,G3PAT160,pFBAOpt_Rxns,MLE_Rxns,Fatty Acid Metabolism,Glycerophospholipid metabolism
81,PAPSR,BPNT,pFBAOpt_Rxns,MLE_Rxns,Other Amino Acid Metabolism,Other Amino Acid Metabolism
82,PAPSR,ADSK,pFBAOpt_Rxns,MLE_Rxns,Other Amino Acid Metabolism,Sulfur metabolism
83,HIBD,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
84,HIBD,HACD9,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
85,HIBD,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,"Valine, Leucine, and Isoleucine Metabolism"
86,HIBD,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
87,HIBD,BKDC1,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
88,HIBD,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,Alternate Carbon Metabolism,Lipid metabolism
89,ACCOAC,BIRA,pFBAOpt_Rxns,MLE_Rxns,Pyruvate Metabolism,Mycolic acid pathway
90,ACCOAC,ACCD3,pFBAOpt_Rxns,MLE_Rxns,Pyruvate Metabolism,Mycolic acid pathway
91,ACCOAC,ACCA3,pFBAOpt_Rxns,MLE_Rxns,Pyruvate Metabolism,Mycolic acid pathway
92,ASPO6,ASPO5,pFBAOpt_Rxns,MLE_Rxns,"Alanine, Aspartate, and Glutamate Metabolism","Alanine, Aspartate, and Glutamate Metabolism"
93,ECOAH12,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
94,ECOAH12,HACD9,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
95,ECOAH12,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
96,ECOAH12,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
97,ECOAH12,BKDC1,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
98,ECOAH12,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
99,FADE233,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
100,FADE233,HACD9,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
101,FADE233,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
102,FADE233,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
103,FADE233,BKDC1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
104,FADE233,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
105,BKDC,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
106,BKDC,HACD9,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
107,BKDC,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
108,BKDC,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
109,BKDC,BKDC1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
110,BKDC,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
111,BKDA2,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
112,BKDA2,HACD9,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
113,BKDA2,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,"Valine, Leucine, and Isoleucine Metabolism"
114,BKDA2,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
115,BKDA2,BKDC1,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
116,BKDA2,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,Lipid metabolism,Lipid metabolism
117,3HBCOAHL,MACCOAT,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
118,3HBCOAHL,HACD9,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
119,3HBCOAHL,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism","Valine, Leucine, and Isoleucine Metabolism"
120,3HBCOAHL,ACOADH1,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
121,3HBCOAHL,BKDC1,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
122,3HBCOAHL,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns,"Valine, Leucine, and Isoleucine Metabolism",Lipid metabolism
123,APSR,BPNT,pFBAOpt_Rxns,MLE_Rxns,Sulfur metabolism,Other Amino Acid Metabolism
124,APSR,ADSK,pFBAOpt_Rxns,MLE_Rxns,Sulfur metabolism,Sulfur metabolism
125,TMDS3,TMDS,pFBAOpt_Rxns,ELE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
126,AMYL2,MTI,pFBAOpt_Rxns,ELE_Rxns,Starch and sucrose metabolism,Alternate Carbon Metabolism
127,AMYL2,MAK,pFBAOpt_Rxns,ELE_Rxns,Starch and sucrose metabolism,Others
128,AMYL2,GLGE,pFBAOpt_Rxns,ELE_Rxns,Starch and sucrose metabolism,Starch and sucrose metabolism
129,DHORD2,DHORDi,pFBAOpt_Rxns,MLE_Rxns,Purine and Pyrimidine Biosynthesis,Purine and Pyrimidine Biosynthesis
130,CS,CITabc,pFBAOpt_Rxns,pFBAOpt_Rxns,Citric Acid Cycle,Transport
131,ASPTA,ASNN,pFBAOpt_Rxns,pFBAOpt_Rxns,"Alanine, Aspartate, and Glutamate Metabolism","Alanine, Aspartate, and Glutamate Metabolism"
132,ASPTA,ASNt2r,pFBAOpt_Rxns,pFBAOpt_Rxns,"Alanine, Aspartate, and Glutamate Metabolism",Transport
133,FAS161,FAS160,pFBAOpt_Rxns,pFBAOpt_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
134,GLYCt,ENO,pFBAOpt_Rxns,pFBAOpt_Rxns,Transport,Glycolysis/Gluconeogenesis
135,GAPD,GLYCt,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Transport
136,GAPD,GLYK,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism
137,NH4t,ASNN,pFBAOpt_Rxns,pFBAOpt_Rxns,Transport,"Alanine, Aspartate, and Glutamate Metabolism"
138,NH4t,ASNt2r,pFBAOpt_Rxns,pFBAOpt_Rxns,Transport,Transport
139,PEPCK_re,NDPK1,pFBAOpt_Rxns,pFBAOpt_Rxns,Citric Acid Cycle,Purine and Pyrimidine Biosynthesis
140,PGK,GLYCt,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Transport
141,PGK,GLYK,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism
142,PGM,GLYCt,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Transport
143,TKT1,RPE,pFBAOpt_Rxns,pFBAOpt_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
144,TKT2,RPE,pFBAOpt_Rxns,pFBAOpt_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
145,TKT2,TALA,pFBAOpt_Rxns,pFBAOpt_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
146,TKT2,TKT1,pFBAOpt_Rxns,pFBAOpt_Rxns,Pentose Phosphate Pathway,Pentose Phosphate Pathway
147,TPI,GLYCt,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Transport
148,TPI,GLYK,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Alternate Carbon Metabolism
149,TPI,GAPD,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis
150,TPI,PGK,pFBAOpt_Rxns,pFBAOpt_Rxns,Glycolysis/Gluconeogenesis,Glycolysis/Gluconeogenesis
151,TRE6PP,GLGC,pFBAOpt_Rxns,pFBAOpt_Rxns,Membrane Metabolism,Alternate Carbon Metabolism
152,TRE6PP,PGMT,pFBAOpt_Rxns,pFBAOpt_Rxns,Membrane Metabolism,Glycolysis/Gluconeogenesis
153,HDECH,FAS160,pFBAOpt_Rxns,pFBAOpt_Rxns,Fatty Acid Metabolism,Fatty Acid Metabolism
154,APSR,PAPSR,pFBAOpt_Rxns,pFBAOpt_Rxns,Sulfur metabolism,Other Amino Acid Metabolism
155,AMYL2,TRE6PP,pFBAOpt_Rxns,pFBAOpt_Rxns,Starch and sucrose metabolism,Membrane Metabolism
156,GLYDHDA,GHMT2r,pFBAOpt_Rxns,pFBAOpt_Rxns,Glyoxylate Metabolism,Glycolysis/Gluconeogenesis
