Rxn_1,Rxn_2,Rxn_1_Class,Rxn_2_Class
MI3PP,MI1PP,pFBAOpt_Rxns,pFBAOpt_Rxns
MMSAD1,MACCOAT,pFBAOpt_Rxns,MLE_Rxns
MMSAD1,HACD9,pFBAOpt_Rxns,MLE_Rxns
MMSAD1,ECOAH9ir,pFBAOpt_Rxns,MLE_Rxns
MMSAD1,ACOADH1,pFBAOpt_Rxns,MLE_Rxns
MMSAD1,BKDC1,pFBAOpt_Rxns,MLE_Rxns
MMSAD1,3M2OPLOXRD,pFBAOpt_Rxns,MLE_Rxns
FCLT,FETRANS,pFBAOpt_Rxns,ELE_Rxns
FCLT,FCLT2,pFBAOpt_Rxns,ELE_Rxns
MAN1PT2,MAN1PT,pFBAOpt_Rxns,MLE_Rxns
MECDPDH,IPDDI,pFBAOpt_Rxns,ELE_Rxns
MECDPDH,HMEDS,pFBAOpt_Rxns,MLE_Rxns
MECDPDH,HMEDR,pFBAOpt_Rxns,MLE_Rxns
NDPK3,NTD4,pFBAOpt_Rxns,MLE_Rxns
PGMT,MTI,pFBAOpt_Rxns,ELE_Rxns
PGMT,MAK,pFBAOpt_Rxns,ELE_Rxns
PGMT,GLGE,pFBAOpt_Rxns,ELE_Rxns
