3OXCOAT
MANptspp
MANtex
L_LACD2
L_LACD3
L_LACt2rpp
L_LACtex
MELIBtex
LACZ
LYXI
LACZpp
LYXt2pp
LYXtex
M1PD
METabcpp
METtex
MALTHXabcpp
MLTG1
MLTG2
MALTHXtexi
MALTPTabcpp
MALTPTtexi
LCADi
LCARS
N2Otex
N2Otpp
LCTStex
MMETt2pp
MMETtex
MMSAD3
MNLptspp
MNLtex
MNNH
NAtex
NHFRBO
MUCCYCI
MUCLI
LIPAHT2ex
LIPAHTex
NO2t2rpp
NO2tex
NO3R1pp
NO3R2pp
NODOx
NTRIR2x
NODOy
NOtex
NOtpp
O2Stex
NTD10pp
NTD11pp
OCDCAtexi
OCDCEAtexi
OCTAtex
NTD12pp
NTD1pp
NTD2pp
OHEDH
NTD3pp
NTD4pp
NTD5pp
OP4ENH
NTD6pp
NTD7pp
NTD8pp
NTD9pp
OPTCCL
OROTt2_2pp
OROTtex
OXOAEL
PACALDt2rpp
PACALDtex
PACCOAL
EX_chol_e
PFK_2
PHACOAOR
PSERtex
PSP_Lpp
PPALtex
PPALtpp
RIBabcpp
RIBtex
PTHRpp
RMI
RMK
RMNtex
RMNtpp
RMPA
Rbtt2
SBTPD
SBTptspp
R5PPpp
SBTtex
R5Ptex
PPDD
RBK_Dr
RBK_L1
RBP4E
RBTDG
SKMt2pp
TCYNTtex
SKMtex
SO3tex
TGBPA
SPODMpp
THMDt2pp
THMDtex
THRPtex
SUCRtex
SUCptspp
SULFACabcpp
SULFACtex
TAGURr
PPTHpp
PPTtex
TREHpp
TREptspp
TREtex
UDPGALPpp
UDPGALtex
UDPGLCURtex
UDPGPpp
TRSARr
TSULtex
TTDCAtexi
TTDCEAtexi
UDPGtex
UGLCURPpp
UGLT
TYMtex
TYROXDApp
TYRPpp
TYRPtex
UMPtex
UACGALPpp
UACGAMPpp
UACGAMtex
PROGLYabcpp
PROGLYtex
UDPACGALtex
XYLK
XYLK2
URIt2pp
URItex
XYLabcpp
XYLt2pp
XYLtex
X5PL3E
ABTpp2
EX_12ppd__S_e
XANt2pp
XANtex
XMPtex
EX_14glucan_e
XTSNtex
EX_23camp_e
EX_23ccmp_e
EX_23cgmp_e
XYLI1
EX_cit_e
EX_23cump_e
EX_23dappa_e
EX_2ddglcn_e
EX_cmp_e
EX_34dhpac_e
EX_glyc2p_e
EX_3amp_e
EX_3cmp_e
EX_3gmp_e
EX_3hcinnm_e
EX_3hpppn_e
EX_colipa_e
EX_csn_e
EX_cu_e
EX_cu2_e
EX_cyan_e
EX_3ump_e
EX_4hoxpacd_e
EX_cys__D_e
EX_cytd_e
EX_dad_2_e
EX_4hphac_e
EX_gmp_e
EX_damp_e
EX_dcmp_e
EX_gsn_e
EX_dcyt_e
EX_ddca_e
EX_dgmp_e
EX_dgsn_e
EX_abt__D_e
EX_acgal1p_e
EX_dimp_e
EX_acgam_e
EX_acgam1p_e
EX_din_e
EX_dopa_e
EX_dtmp_e
EX_dump_e
EX_adn_e
EX_duri_e
EX_ethso3_e
EX_f6p_e
EX_ala__L_e
EX_alaala_e
EX_amp_e
EX_arab__L_e
EX_ascb__L_e
EX_fru_e
EX_h2o2_e
EX_fuc__L_e
EX_g1p_e
EX_hacolipa_e
EX_bz_e
EX_g3pc_e
EX_halipa_e
EX_g3pi_e
EX_g3ps_e
EX_g6p_e
EX_gal_e
EX_hdca_e
EX_gal_bD_e
EX_ppal_e
EX_ppt_e
EX_gal1p_e
EX_hdcea_e
EX_galct__D_e
EX_galctn__D_e
EX_galt_e
EX_progly_e
EX_pser__L_e
EX_galur_e
EX_gam_e
EX_r5p_e
EX_gam6p_e
EX_rbt_e
EX_rib__D_e
EX_rmn_e
EX_glcr_e
EX_sbt__D_e
EX_glcur_e
EX_glcur1p_e
EX_gln__L_e
EX_gly_e
EX_ser__D_e
EX_skm_e
EX_so3_e
EX_sucr_e
EX_sulfac_e
EX_glyc__R_e
EX_tcynt_e
EX_thrp_e
EX_imp_e
EX_thymd_e
EX_tre_e
EX_inost_e
EX_tsul_e
EX_ins_e
EX_ttdca_e
EX_ttdcea_e
EX_isetac_e
EX_tym_e
EX_tyrp_e
EX_uacgam_e
EX_udpacgal_e
EX_udpg_e
EX_udpgal_e
EX_udpglcur_e
EX_ump_e
EX_lac__L_e
EX_uri_e
EX_lcts_e
EX_xan_e
EX_xmp_e
EX_xtsn_e
EX_xyl__D_e
EX_lipa_e
EX_lyx__L_e
EX_mal__L_e
EX_malt_e
EX_malthx_e
EX_maltpt_e
EX_malttr_e
EX_maltttr_e
EX_man_e
EX_man6p_e
EX_melib_e
EX_met__L_e
EX_mmet_e
EX_mnl_e
EX_n2o_e
EX_no_e
EX_no2_e
EX_o2s_e
EX_ocdca_e
EX_ocdcea_e
EX_octa_e
EX_orot_e
EX_pacald_e
