EX_cd2_e
DMQMT
DNTPPA
ARD1
DPCOAK
DMSOR1
DPR
DSBAO1
DMSOR2
DMSOtex
DMStex
DSBAO2
DSBCGT
DSBDR
DSBGGT
DNMPPA
ARGTRS
EDTXS1
EDTXS2
DXPRIi
DXPS
2OH3K5MPPISO
ENTERES2
DXYLK
E4PD
FDMO2
ECAP1pp
ECAP2pp
ECAP3pp
ECAtpp
FACOAL100t2pp
FDMO4
FACOAL60t2pp
FALDH2
FALDtex
GALCTNLt2pp
GALCTNLtex
FE3DHBZSabcpp
G3PCabcpp
FE3DHBZStonex
FE3HOXabcpp
GDPMNP
FE3HOXtonex
GDPtex
FECRMR3
GLCATr
FECRMabcpp
FECRMtonex
FEENTERR3
GLCOAS
FEENTERabcpp
GLNTRS
FEENTERtonex
FEENTERtpp
FEOXAMabcpp
FEOXAMtonex
GLYTRS
GP4GH
GPDDA1
GLYBabcpp
GLYBt2pp
GLYBtex
GRTT
GTHOXtex
FLVR
FLVRx
FMETTRS
GTPCI
GTPCII2
FMNAT
GTPtex
H2Stex
HBZOPT
HXAtex
HYXNtex
HEMEOS
HEPT1
HEPT2
HEPT3
ICHORT
IDONtex
HETZK
HG2abcpp
ILETRS
HG2t3pp
HG2tex
FRULYStex
HISTRS
FRUURtex
HMPK1
IPDDI
IPDPS
HPPK2
HPYRRx
HPYRRy
MALTptspp
LPLIPAL2ATE120
LPLIPAL2ATE140
MANGLYCtex
LPLIPAL2ATE141
LPLIPAL2ATE160
LPLIPAL2ATE161
Ktex
LPLIPAL2ATE180
MCPST
LPLIPAL2ATE181
LPLIPAL2ATG120
LPLIPAL2ATG140
LPLIPAL2ATG141
LPLIPAL2ATG160
MCTP1Bpp
LPLIPAL2ATG161
LPLIPAL2ATG180
MDDCP5pp
LPLIPAL2ATG181
MDDEP2pp
MDRPD
MECDPDH2
MECDPS
LA4NTpp
MEPCT
LYSTRS
METDabcpp
METDtex
METSOX1tex
METSOX2tex
METSOXR1
METSOXR2
MACPT
MALDDH
METTRS
MALDt2_2pp
MALDtex
LALDO2x
MALTATr
MG2tex
MI1PP
LCARR
MLTGY2pp
MLTGY3pp
NACtex
NACtpp
NADK
MMSAD2
LEUTRS
MN6PP
MNtex
MOBDabcpp
MOBDtex
MOHMT
MSO3abcpp
MSO3tex
MTAN
MTRI
MTRK
NI2tex
MTRPOX
NMNPtpp
NMNt7pp
NMNtex
NNDMBRT
NNDPR
LIPAabcpp
NO3t7pp
NO3tex
NPHS
OBTFL
OCTDPS
NTD12
OHPBAT
OHPHM
OMBZLM
OMMBLHX
OMPHHX
OPHBDC
OPHHX
OPHHX3
NTP11
NTP12
OXGDC2
OXPTNDH
NTPP10
NTPP11
NTPP9
PANTS
PDX5PO2
PDX5POi
PDX5PS
PEAMNOpp
PEAMNtex
PERD
PETNT161pp
PETNT181pp
PHETRS
PGLYCP
PMDPHT
PNTK
PNTOt4pp
PNTOtex
PPAKr
PPAt4pp
PTA2
PPAtex
PTPATi
PPCDC
QULNS
RZ5PP
SARCOX
RBFK
RBFSa
SELCYSS
RBFSb
SELNPS
SFGTHi
RHCCE
SERTRS
SERTRS2
SHCHCC
SHCHCS2
SHCHD2
PPNCL2
SHCHF
TAUDO
TAURabcpp
TAURtex
SO2tex
SO2tpp
TDPADGAT
TDPAGTA
SPMDAT1
TDSR1
SPMDAT2
SPMDabcpp
SPMDtex
TDSR2
SPMS
PPPNt2rpp
THMabcpp
THMtex
SUCBZL
SUCBZS
PPPNtex
PPRDNDH
THRTRS
TARTD
THZPSN
TARTRt7pp
TARTRtex
TMAOR1
TMAOR2
TMAOtex
TMAtex
TPRDCOAS
TMK
TMN
TMPPP
EX_ca2_e
TRPTA
TRPTRS
UDPGDC
TSULabcpp
UDPKAAT
TUNGSabcpp
TUNGStex
ULA4NFT
ULA4Ntppi
TYRTRS
UNK3
UPLA4FNF
UPLA4FNT
UPP3MT
UACMAMO
UAG2E
UDCPDPS
UDCPDPpp
UDCPPtppi
PROTRS
XYLUtex
VALTRS
Zn2tex
PSCLYStex
EX_cl_e
EX_26dap__M_e
EX_cobalt2_e
EX_crn_e
EX_cynt_e
EX_4abut_e
EX_5dglcn_e
EX_dca_e
EX_acgal_e
EX_gthox_e
EX_acmana_e
EX_acmum_e
EX_dms_e
EX_dmso_e
EX_acolipa_e
EX_gtp_e
EX_adocbl_e
EX_ag_e
EX_fald_e
EX_ala_B_e
EX_fe3dhbzs_e
EX_fe3hox_e
EX_fecrm_e
EX_all__D_e
EX_feenter_e
EX_feoxam_e
EX_frulys_e
EX_aso3_e
EX_fruur_e
EX_h2s_e
EX_but_e
EX_butso3_e
EX_pnto__R_e
EX_ppa_e
EX_pppn_e
EX_galctn__L_e
EX_psclys_e
EX_hg2_e
EX_gdp_e
EX_so2_e
EX_glyb_e
EX_spmd_e
EX_hxa_e
EX_hxan_e
EX_tartr__L_e
EX_taur_e
EX_idon__L_e
EX_thm_e
EX_tma_e
EX_tmao_e
EX_tungs_e
EX_k_e
EX_xylu__L_e
EX_zn2_e
EX_mal__D_e
EX_manglyc_e
EX_met__D_e
EX_metsox_R__L_e
EX_metsox_S__L_e
EX_mg2_e
EX_mn2_e
EX_mobd_e
EX_mso3_e
EX_na1_e
EX_nac_e
EX_ni2_e
EX_nmn_e
EX_no3_e
EX_peamn_e
