"","Rxn_1","Rxn_2","Rxn_1_Min","Rxn_1_Max","Rxn_2_Min","Rxn_2_Max","v1","v2","Rxn1_Prod","Rxn2_Prod","g_min_Fluxes","g_max_Fluxes","l_min_Fluxes","l_max_Fluxes","Rxn_1_Class","Rxn_2_Class","class","size","flux","short","long","common","syna","Rxn1_submodule","Rxn2_submodule"
"30","ACACT2r","3HAD80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,-4.06129296859348e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"31","ACACT2r","3OAR100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,5.9369994546805,-1,0,0,-3.39923644787632e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"32","ACACT2r","3OAR40",-9.78604669763422,7.18802865083069,0,9.80165198225041,0,0.000195570378817213,-1,0,0,-1.43245415529236e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"33","ACACT2r","3OAR60",-9.78604669763422,7.18802865083069,0,9.80165198225427,0,0,-1,0,0,-1.26192389870994e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"34","ACACT2r","3OAR80",-9.78604669763422,7.18802865083069,0,9.80165198225257,0,0,-1,0,0,-4.09272615797818e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"35","ACACT2r","3OAS100",-9.78604669763422,7.18802865083069,0,17.5653367206703,0,0,-1,0,0,-3.39537287175062e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348389067","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"36","ACACT2r","3OAS60",-9.78604669763422,7.18802865083069,0,9.80165198225424,0,0,-1,0,0,-1.25696814068377e-11,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"37","ACACT2r","3OAS80",-9.78604669763422,7.18802865083069,0,9.80165198225258,0,0,-1,0,0,-4.06129296859348e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863227348","13","14","1",27,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"38","ACACT3r","3HAD100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,0,-1,0,0,5.06217290308086e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"39","ACACT3r","3HAD40",-9.78604669763388,2.28690654547654,0,9.80165198225041,0,0,-1,0,0,-2.91057455914512e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"40","ACACT3r","3HAD60",-9.78604669763388,2.28690654547654,0,9.80165198225424,0,0.000195570378817213,-1,0,0,4.40802949697172e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"41","ACACT3r","3HAD80",-9.78604669763388,2.28690654547654,0,9.80165198225258,0,0,-1,0,0,1.34636746196293e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"42","ACACT3r","3OAR100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,5.9369994546805,-1,0,0,5.11590769747272e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"43","ACACT3r","3OAR40",-9.78604669763388,2.28690654547654,0,9.80165198225041,0,0.000195570378817213,-1,0,0,-2.95585778076202e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"44","ACACT3r","3OAR60",-9.78604669763388,2.28690654547654,0,9.80165198225427,0,0,-1,0,0,4.43378667114303e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"45","ACACT3r","3OAR80",-9.78604669763388,2.28690654547654,0,9.80165198225257,0,0,-1,0,0,1.36424205265939e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"46","ACACT3r","3OAS100",-9.78604669763388,2.28690654547654,0,17.5653367206703,0,0,-1,0,0,5.06217290308086e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","36","13.342518348385134","17","18","1",35,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
"47","ACACT3r","3OAS60",-9.78604669763388,2.28690654547654,0,9.80165198225424,0,0,-1,0,0,4.40802949697172e-12,NA,NA,"pFBAOpt_Rxns","MLE_Rxns","PSL","28","10.081013863225756","13","15","0",28,"Membrane Lipid Metabolism","Cell Envelope Biosynthesis"
